issue,fix-commit,tests
TIKA-645,c2f7fe03d7bbaf0ce42f9c0ea08c0871f39a9c24,[u'C:\\Code\\Lab\\BugMiner\\tested_project\\tika\\tika-core/src/test/java/org/apache/tika/sax/SecureContentHandlerTest.java']
TIKA-645,c77287289407b971e8e1811fd1e976e6f59093ad,[]
TIKA-646,1fcb10afd65a0a007beb631a3ac5f1f6b8027d35,[]
TIKA-646,ac4b6ef8f4bc4cdf93d062c0a55a0e43007cfef1,[]
TIKA-647,ee817f06c81bcb356d3dee84cb9aff05376173be,[]
TIKA-649,907880f1c3f86e55fd83eae3209a5b238e580a06,[]
TIKA-650,77c7847b54d396de91f281f4c58ff69d67ee9910,"[u'C:\\Code\\Lab\\BugMiner\\tested_project\\tika\\tika-parsers/src/test/java/org/apache/tika/parser/html/HtmlParserTest.java', u'C:\\Code\\Lab\\BugMiner\\tested_project\\tika\\tika-parsers/src/test/java/org/apache/tika/parser/microsoft/WordParserTest.java']"
TIKA-651,77ebfcd04dfb16f9f856dbcf6fe9098217c779c3,[u'C:\\Code\\Lab\\BugMiner\\tested_project\\tika\\tika-core/src/test/java/org/apache/tika/sax/SerializerTest.java']
TIKA-651,fcde81cfbf6f7d4a7ba4e148471f1ce622d59f92,[u'C:\\Code\\Lab\\BugMiner\\tested_project\\tika\\tika-core/src/test/java/org/apache/tika/sax/SerializerTest.java']
TIKA-654,5119a98a67b6b30fa93614ebe8df0ef950df357e,[]
TIKA-654,3e0191d232a8574083f3648f2b6b8590ac132c15,[]
TIKA-655,ddceb68bdabc6fb732ecf2182dcb589237277a58,[]
TIKA-655,87fd9affb574d62ed26d669adaa3d7cf37e124fb,[u'C:\\Code\\Lab\\BugMiner\\tested_project\\tika\\tika-parsers/src/test/java/org/apache/tika/parser/iwork/IWorkParserTest.java']
TIKA-656,8ef4561642c3b0b4173480b82708e192ac06d2a3,[u'C:\\Code\\Lab\\BugMiner\\tested_project\\tika\\tika-parsers/src/test/java/org/apache/tika/parser/microsoft/OutlookParserTest.java']
